,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
81,2020-04-12,1506.1873372723571,-11369.790065708527,16573.78505110931,1506.1873372723571,1506.1873372723571,1325.3559511884139,1325.3559511884139,1325.3559511884139,1325.3559511884139,1325.3559511884139,1325.3559511884139,0.0,0.0,0.0,2831.543288460771
82,2020-04-13,1759.2446063867674,-14390.339779052123,14579.466173501587,1759.2446063867674,1759.2446063867674,-910.7949801553099,-910.7949801553099,-910.7949801553099,-910.7949801553099,-910.7949801553099,-910.7949801553099,0.0,0.0,0.0,848.4496262314575
83,2020-04-14,2012.3018755011751,-13170.936756165465,14408.689372464745,2012.3018755011751,2012.3018755011751,-949.2793479602559,-949.2793479602559,-949.2793479602559,-949.2793479602559,-949.2793479602559,-949.2793479602559,0.0,0.0,0.0,1063.0225275409193
84,2020-04-15,2265.359144615585,-12646.811177581258,14842.623842105175,2265.359144615585,2265.359144615585,-986.0768442758215,-986.0768442758215,-986.0768442758215,-986.0768442758215,-986.0768442758215,-986.0768442758215,0.0,0.0,0.0,1279.2823003397637
85,2020-04-16,2518.416413729993,-11421.384259497112,16214.610307403156,2518.416413729993,2518.416413729993,-93.46433074578408,-93.46433074578408,-93.46433074578408,-93.46433074578408,-93.46433074578408,-93.46433074578408,0.0,0.0,0.0,2424.952082984209
86,2020-04-17,2771.4736828444056,-10977.235632755426,17663.091092947263,2771.4736828444056,2771.4736828444056,397.7322624271557,397.7322624271557,397.7322624271557,397.7322624271557,397.7322624271557,397.7322624271557,0.0,0.0,0.0,3169.205945271561
87,2020-04-18,3152.2718947126227,-8555.363265668035,17801.8766306242,3152.2718947126227,3152.2718947126227,1216.527289520806,1216.527289520806,1216.527289520806,1216.527289520806,1216.527289520806,1216.527289520806,0.0,0.0,0.0,4368.799184233429
88,2020-04-19,3533.07010658084,-9123.341452102588,18304.806043548477,3533.07010658084,3533.07010658084,1325.355951186292,1325.355951186292,1325.355951186292,1325.355951186292,1325.355951186292,1325.355951186292,0.0,0.0,0.0,4858.426057767132
89,2020-04-20,3913.8683184490615,-10206.66135252589,15897.565952999952,3913.8683184490615,3913.8683184490615,-910.7949801565436,-910.7949801565436,-910.7949801565436,-910.7949801565436,-910.7949801565436,-910.7949801565436,0.0,0.0,0.0,3003.0733382925177
90,2020-04-21,4294.666530317283,-10174.021482630978,16888.129546887045,4294.666530317283,4294.666530317283,-949.2793479608705,-949.2793479608705,-949.2793479608705,-949.2793479608705,-949.2793479608705,-949.2793479608705,0.0,0.0,0.0,3345.3871823564127
91,2020-04-22,4675.4647421855,-11257.394133114632,18562.534095689025,4675.4647421855,4675.4647421855,-986.0768442765473,-986.0768442765473,-986.0768442765473,-986.0768442765473,-986.0768442765473,-986.0768442765473,0.0,0.0,0.0,3689.3878979089523
92,2020-04-23,5056.262954053722,-8384.207692430837,19433.16706024948,5056.262954053722,5056.262954053722,-93.46433074601816,-93.46433074601816,-93.46433074601816,-93.46433074601816,-93.46433074601816,-93.46433074601816,0.0,0.0,0.0,4962.798623307704
93,2020-04-24,5589.7365545597,-8524.376329640956,19957.18436362554,5589.7365545597,5589.7365545597,397.73226242594103,397.73226242594103,397.73226242594103,397.73226242594103,397.73226242594103,397.73226242594103,0.0,0.0,0.0,5987.468816985642
94,2020-04-25,6123.210155065688,-6582.824310623338,21243.52388721687,6123.210155065688,6123.210155065688,1216.52728952299,1216.52728952299,1216.52728952299,1216.52728952299,1216.52728952299,1216.52728952299,0.0,0.0,0.0,7339.737444588678
95,2020-04-26,6656.683755571685,-5034.774270107924,21434.227277124923,6656.683755571685,6656.683755571685,1325.3559511857084,1325.3559511857084,1325.3559511857084,1325.3559511857084,1325.3559511857084,1325.3559511857084,0.0,0.0,0.0,7982.039706757393
96,2020-04-27,7190.157356077663,-7163.36831564857,20001.87414460201,7190.157356077663,7190.157356077663,-910.7949801516504,-910.7949801516504,-910.7949801516504,-910.7949801516504,-910.7949801516504,-910.7949801516504,0.0,0.0,0.0,6279.362375926013
97,2020-04-28,7723.630956583651,-6907.420288872292,20333.722268394285,7723.630956583651,7723.630956583651,-949.2793479603162,-949.2793479603162,-949.2793479603162,-949.2793479603162,-949.2793479603162,-949.2793479603162,0.0,0.0,0.0,6774.351608623335
98,2020-04-29,8349.575457758556,-6831.87090400415,20680.266268639087,8349.575457758556,8349.575457758556,-986.0768442741223,-986.0768442741223,-986.0768442741223,-986.0768442741223,-986.0768442741223,-986.0768442741223,0.0,0.0,0.0,7363.498613484433
99,2020-04-30,8975.51995893348,-4239.944338569736,21959.24149579013,8975.51995893348,8975.51995893348,-93.46433074399206,-93.46433074399206,-93.46433074399206,-93.46433074399206,-93.46433074399206,-93.46433074399206,0.0,0.0,0.0,8882.055628189488
100,2020-05-01,9601.464460108386,-4491.038045913397,24007.45091582431,9601.464460108386,9601.464460108386,397.73226242578886,397.73226242578886,397.73226242578886,397.73226242578886,397.73226242578886,397.73226242578886,0.0,0.0,0.0,9999.196722534174
101,2020-05-02,10227.40896128331,-1690.216790344473,25674.27115800859,10227.40896128331,10227.40896128331,1216.5272895204346,1216.5272895204346,1216.5272895204346,1216.5272895204346,1216.5272895204346,1216.5272895204346,0.0,0.0,0.0,11443.936250803745
102,2020-05-03,10853.353462458217,-1067.3331709432462,25914.859178807383,10853.353462458217,10853.353462458217,1325.3559511851252,1325.3559511851252,1325.3559511851252,1325.3559511851252,1325.3559511851252,1325.3559511851252,0.0,0.0,0.0,12178.709413643342
103,2020-05-04,11479.297963633131,-3741.626940882528,25145.633115031247,11479.297963633131,11479.297963633131,-910.794980152884,-910.794980152884,-910.794980152884,-910.794980152884,-910.794980152884,-910.794980152884,0.0,0.0,0.0,10568.502983480246
104,2020-05-05,12712.291167946601,-1608.0466397296418,24788.403417685626,12712.291167946601,12712.291167946601,-949.2793479609196,-949.2793479609196,-949.2793479609196,-949.2793479609196,-949.2793479609196,-949.2793479609196,0.0,0.0,0.0,11763.011819985682
105,2020-05-06,13945.284372260054,-252.00582513380112,27579.65039935566,13945.284372260054,13945.284372260054,-986.0768442748484,-986.0768442748484,-986.0768442748484,-986.0768442748484,-986.0768442748484,-986.0768442748484,0.0,0.0,0.0,12959.207527985205
106,2020-05-07,15178.277576573526,-133.98131877670644,27957.989106539426,15178.277576573526,15178.277576573526,-93.46433074422616,-93.46433074422616,-93.46433074422616,-93.46433074422616,-93.46433074422616,-93.46433074422616,0.0,0.0,0.0,15084.8132458293
107,2020-05-08,16411.270780886978,3246.048905832009,30166.72234893784,16411.270780886978,16411.270780886978,397.73226242457395,397.73226242457395,397.73226242457395,397.73226242457395,397.73226242457395,397.73226242457395,0.0,0.0,0.0,16809.003043311553
108,2020-05-09,17644.26398520047,5992.303967070243,32573.208899316254,17644.26398520047,17644.26398520047,1216.5272895226176,1216.5272895226176,1216.5272895226176,1216.5272895226176,1216.5272895226176,1216.5272895226176,0.0,0.0,0.0,18860.791274723088
